Nombre de pasarela;SN de pasarela;Dirección IP de pasarela;Dirección MAC de pasarela;Nombre del dispositivo;ID local de dispositivo;ID de tipo de dispositivo;Nombre de tipo de dispositivo;Intervalo de registro;Intervalos de históricos
EGX300;53101677;192.16.1.222;00:80:67:85:DF:B0;MARTUTENE PM COCHE ELECTRICO;7;3255;iEM3255;15;0

;;;ID de tema1;ID de tema2;ID de tema3;ID de tema4
;;;64145;64149;64153;64157

Error;Desviación de UTC (minutos);Indicador de hora local;Energía recibida (kWh);Energía entregada (kWh);Energía recibida (kVARh);Energía entregada (kVARh)
0;60;2019-01-17 11:15:00;4531,516;29,651;22,155;1160,534
0;60;2019-01-17 11:30:00;4531,516;29,651;22,155;1160,535
0;60;2019-01-17 11:45:00;4531,516;29,651;22,155;1160,535
0;60;2019-01-17 12:00:00;4531,516;29,651;22,155;1160,535
