Nombre de pasarela;SN de pasarela;Dirección IP de pasarela;Dirección MAC de pasarela;Nombre del dispositivo;ID local de dispositivo;ID de tipo de dispositivo;Nombre de tipo de dispositivo;Intervalo de registro;Intervalos de históricos
EGX300;53101677;192.16.1.222;00:80:67:85:DF:B0;MARTUTENE PM 3 CLIMA OFICINAS;3;3255;iEM3255;15;0

;;;ID de tema1;ID de tema2;ID de tema3;ID de tema4
;;;64149;64157;1042;1046

Error;Desviación de UTC (minutos);Indicador de hora local;Energía entregada (kWh);Energía entregada (kVARh);Potencia activa total (kW);Potencia reactiva total (kVAR)
0;60;2019-01-17 11:15:00;42198,687;20141,509;,447;0,030
0;60;2019-01-17 11:30:00;42198,726;20141,753;,125;1,372
0;60;2019-01-17 11:45:00;42198,799;20141,939;,754;0,013
0;60;2019-01-17 12:00:00;42198,863;20142,164;,137;,838
